task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
financial_phrase_bank,llama_3_8b,full,1000,0.906,,,,0.0,0.8912651662651664
financial_phrase_bank,llama_3_8b,16,1000,0.8996875,0.07549252342947611,0.75,1.0,0.0,0.8785677123341936
financial_phrase_bank,llama_3_8b,32,1000,0.90671875,0.052892644440767946,0.78125,1.0,0.0,0.8885627772716657
financial_phrase_bank,llama_3_8b,64,1000,0.900234375,0.035171090617641856,0.84375,0.96875,0.0,0.8968207350067274
financial_phrase_bank,llama_3_8b,128,1000,0.9021484375,0.024938125334813033,0.859375,0.9453125,0.0,0.8937696024174412
financial_phrase_bank,llama_3_8b,256,1000,0.902578125,0.015121981232836194,0.87490234375,0.9296875,0.0,0.8902025062309187
financial_phrase_bank,qwen_3_4b,full,1000,0.9,,,,0.0,0.8987912623892905
financial_phrase_bank,qwen_3_4b,16,1000,0.905,0.07679111276703834,0.7484375000000001,1.0,0.0,0.8952674740821565
financial_phrase_bank,qwen_3_4b,32,1000,0.90515625,0.05288341208202719,0.78125,1.0,0.0,0.8915534810288238
financial_phrase_bank,qwen_3_4b,64,1000,0.896640625,0.035378723164274525,0.827734375,0.96875,0.0,0.895721656834729
financial_phrase_bank,qwen_3_4b,128,1000,0.902734375,0.02383452782827625,0.859375,0.9453125,0.0,0.897224539740032
financial_phrase_bank,qwen_3_4b,256,1000,0.90009765625,0.01593174250706819,0.87109375,0.93359375,0.0,0.8985034865102359
financial_phrase_bank,qwen_3_8b,full,1000,0.963,,,,0.0,0.9581540491496104
financial_phrase_bank,qwen_3_8b,16,1000,0.969375,0.04329675940529498,0.875,1.0,0.0,0.9609755617411762
financial_phrase_bank,qwen_3_8b,32,1000,0.9634375,0.033962007725545314,0.875,1.0,0.0,0.9558486976276463
financial_phrase_bank,qwen_3_8b,64,1000,0.96265625,0.023582364802697375,0.90625,1.0,0.0,0.9520764709732434
financial_phrase_bank,qwen_3_8b,128,1000,0.961484375,0.016341202896646714,0.921875,0.9921875,0.0,0.9573098591008627
financial_phrase_bank,qwen_3_8b,256,1000,0.96359375,0.010191944486793234,0.94140625,0.98046875,0.0,0.9574716063696213
gsm8k,llama_3_8b,full,1319,0.7445034116755117,,,,0.0,0.006502945189404928
gsm8k,llama_3_8b,16,1319,0.7415625,0.11051680796942157,0.5,0.9375,0.0,0.014491071428571428
gsm8k,llama_3_8b,32,1319,0.7475,0.07196733199862282,0.59375,0.875,0.0,0.015470106307442073
gsm8k,llama_3_8b,64,1319,0.74265625,0.05452901141536953,0.640234375,0.84375,0.0,0.015523284824999848
gsm8k,llama_3_8b,128,1319,0.745078125,0.0411497805991645,0.6640625,0.828125,0.0,0.012956843028757641
gsm8k,llama_3_8b,256,1319,0.74359375,0.024559845992111796,0.69912109375,0.79296875,0.0,0.011368683527063194
gsm8k,qwen_3_8b,full,1319,0.24260803639120546,,,,0.000758150113722517,0.07520746749087627
gsm8k,qwen_3_8b,16,1319,0.24,0.10706306552681928,0.06093750000000003,0.4375,0.000758150113722517,0.10534216408591408
gsm8k,qwen_3_8b,32,1319,0.2528125,0.07356637627850104,0.125,0.4375,0.000758150113722517,0.11229789403129242
gsm8k,qwen_3_8b,64,1319,0.241328125,0.05265642386840731,0.140625,0.359375,0.000758150113722517,0.10395002207114658
gsm8k,qwen_3_8b,128,1319,0.2395703125,0.03208149165692883,0.1794921875,0.3046875,0.000758150113722517,0.09721594837488326
gsm8k,qwen_3_8b,256,1319,0.24515625,0.023261841742433034,0.19921875,0.296875,0.000758150113722517,0.0895219096330176
boolq,llama_3_8b,full,3270,0.845565749235474,,,,0.0,0.8407087431207466
boolq,llama_3_8b,16,3270,0.8525,0.088175960442742,0.6875,1.0,0.0,0.8332872906649693
boolq,llama_3_8b,32,3270,0.8490625,0.06637296960171361,0.71875,0.96875,0.0,0.8351371778029049
boolq,llama_3_8b,64,3270,0.841953125,0.04558585381847504,0.75,0.921875,0.0,0.8362570496029685
boolq,llama_3_8b,128,3270,0.8417578125,0.030728038357639976,0.78125,0.8984375,0.0,0.8415309682137163
boolq,llama_3_8b,256,3270,0.84716796875,0.020647542944938653,0.8125,0.88681640625,0.0,0.8393387265726705
boolq,qwen_3_4b,full,3270,0.854434250764526,,,,0.0,0.8482133384094015
boolq,qwen_3_4b,16,3270,0.8559375,0.0879891461701385,0.6875,1.0,0.0,0.840087248858638
boolq,qwen_3_4b,32,3270,0.85328125,0.06053129839956764,0.71875,0.96875,0.0,0.8506973095207303
boolq,qwen_3_4b,64,3270,0.855390625,0.04148717033896594,0.765625,0.9222656250000001,0.0,0.8448522103120959
boolq,qwen_3_4b,128,3270,0.85703125,0.030004475577611753,0.7890625,0.9140625,0.0,0.8455593799680959
boolq,qwen_3_4b,256,3270,0.85349609375,0.018831194235702987,0.81640625,0.89072265625,0.0,0.8485958176811335
boolq,qwen_3_8b,full,3270,0.8678899082568807,,,,0.0,0.8613922239766019
boolq,qwen_3_8b,16,3270,0.8671875,0.08793141414619693,0.6875,1.0,0.0,0.852035991189454
boolq,qwen_3_8b,32,3270,0.8640625,0.05951874048356534,0.75,0.96875,0.0,0.8549832430533515
boolq,qwen_3_8b,64,3270,0.869609375,0.04232032043220343,0.78125,0.9378906250000001,0.0,0.8603475223562711
boolq,qwen_3_8b,128,3270,0.8680859375,0.030350104533837175,0.8046875,0.9296875,0.0,0.8610746417665246
boolq,qwen_3_8b,256,3270,0.86640625,0.01929149722635273,0.83203125,0.90244140625,0.0,0.8620897642890296
rte,llama_3_8b,full,277,0.7833935018050542,,,,0.0,0.7681620354871108
rte,llama_3_8b,16,277,0.791875,0.09804933388350989,0.5625,1.0,0.0,0.7439961242097968
rte,llama_3_8b,32,277,0.77875,0.06407088359777786,0.65625,0.90625,0.0,0.769088302909426
rte,llama_3_8b,64,277,0.78546875,0.041301754937744475,0.703125,0.859375,0.0,0.7665854471328177
rte,llama_3_8b,128,277,0.786015625,0.025481088843922566,0.734375,0.8359375,0.0,0.7669272554137919
rte,llama_3_8b,256,277,0.78408203125,0.006976102089721088,0.76953125,0.796875,0.0,0.7675878663032821
rte,qwen_3_4b,full,277,0.8664259927797834,,,,0.0,0.8658595641646489
rte,qwen_3_4b,16,277,0.869375,0.08081373258920788,0.6875,1.0,0.0,0.8556493293226569
rte,qwen_3_4b,32,277,0.8690625,0.05549757173741928,0.75,0.96875,0.0,0.8668830742273954
rte,qwen_3_4b,64,277,0.869296875,0.03786210266690659,0.796875,0.953125,0.0,0.8623650017910899
rte,qwen_3_4b,128,277,0.866171875,0.02085088778647986,0.828125,0.9140625,0.0,0.8649627215776817
rte,qwen_3_4b,256,277,0.86634765625,0.006211766601501012,0.85546875,0.87890625,0.0,0.86586045089132
rte,qwen_3_8b,full,277,0.8592057761732852,,,,0.0,0.8575347162695011
rte,qwen_3_8b,16,277,0.8621875,0.08083970926314617,0.6875,1.0,0.0,0.8436223886090605
rte,qwen_3_8b,32,277,0.86171875,0.05965701937691406,0.71875,0.96875,0.0,0.8543957033413379
rte,qwen_3_8b,64,277,0.860546875,0.04119010507220606,0.780859375,0.9375,0.0,0.8549109261385681
rte,qwen_3_8b,128,277,0.861953125,0.022139996462496897,0.8201171875,0.90625,0.0,0.8581625837460877
rte,qwen_3_8b,256,277,0.85955078125,0.006042673312105821,0.84765625,0.875,0.0,0.8577870713369637
